round_idx,agent_id,deviation_D,is_crisis
0,legal_agent,1.5551252321820588,0
1,legal_agent,0.9487433674689575,0
2,legal_agent,1.1926386130850661,0
3,legal_agent,4.024992495920112,0
4,legal_agent,2.450671193283674,0
5,legal_agent,2.639125535460848,0
6,legal_agent,0.9129949506293703,0
7,legal_agent,2.639125535460848,0
8,legal_agent,3.156795028820189,0
9,legal_agent,2.7849860062653695,0
10,legal_agent,1.8993893077013946,0
11,legal_agent,1.0143460591282605,0
12,legal_agent,2.816225175836319,0
13,legal_agent,5.1022941044479735,1
14,legal_agent,4.993981629927336,1
15,legal_agent,6.517691889452695,1
16,legal_agent,5.770703438363774,1
17,legal_agent,3.9706120625094137,1
18,legal_agent,6.817498652904808,1
19,legal_agent,6.221656775795164,1
20,legal_agent,11.97404025039702,1
21,legal_agent,13.400094398758498,1
22,legal_agent,9.949358624741192,1
0,quality_agent,1.0559453378453258,0
1,quality_agent,1.3448410885085142,0
2,quality_agent,1.0559453378453258,0
3,quality_agent,3.5074670817086164,0
4,quality_agent,3.7130490189618603,0
5,quality_agent,3.090761818634379,0
6,quality_agent,2.1014482224302276,0
7,quality_agent,1.3363570977848438,0
8,quality_agent,2.819242630076031,0
9,quality_agent,0.8607496160793455,0
10,quality_agent,1.5555304531241247,0
11,quality_agent,0.8607496160793455,0
12,quality_agent,3.7772973992343055,0
13,quality_agent,6.1598186920754,1
14,quality_agent,6.1598186920754,1
15,quality_agent,6.1598186920754,1
16,quality_agent,6.646047481660203,1
17,quality_agent,12.308908591956646,1
18,quality_agent,6.724544045988176,1
19,quality_agent,6.1598186920754,1
20,quality_agent,6.1598186920754,1
21,quality_agent,6.1598186920754,1
22,quality_agent,6.1598186920754,1
0,social_media_agent,1.4136619055822384,0
1,social_media_agent,1.2839227696145254,0
2,social_media_agent,1.7958674527039657,0
3,social_media_agent,4.018784353648622,0
4,social_media_agent,4.378060119940872,0
5,social_media_agent,2.767096074582243,0
6,social_media_agent,3.605840407025924,0
7,social_media_agent,1.4136619055822384,0
8,social_media_agent,5.192606215690039,0
9,social_media_agent,3.340466004762876,0
10,social_media_agent,1.4136619055822384,0
11,social_media_agent,2.353544042332611,0
12,social_media_agent,3.081086925558112,0
13,social_media_agent,9.1406822384442,1
14,social_media_agent,4.959470009506474,1
15,social_media_agent,10.043766631340583,1
16,social_media_agent,4.959470009506474,1
17,social_media_agent,10.875643715971387,1
18,social_media_agent,9.405850838590302,1
19,social_media_agent,10.644148863982277,1
20,social_media_agent,11.81322183227529,1
21,social_media_agent,11.283987467026833,1
22,social_media_agent,13.158632774516109,1
0,pr_agent,3.5791651939968565,0
1,pr_agent,1.4923031024214681,0
2,pr_agent,1.4923031024214681,0
3,pr_agent,3.1451346449175475,0
4,pr_agent,3.9952994139717646,0
5,pr_agent,1.6055842312753583,0
6,pr_agent,1.4493719196467483,0
7,pr_agent,3.1533337371886243,0
8,pr_agent,3.6414980308358,0
9,pr_agent,1.4493719196467483,0
10,pr_agent,3.0887144485792004,0
